id,lat,lon,stratum,bbox_min_lat,bbox_max_lat,bbox_min_lon,bbox_max_lon
117,39.818678,116.144293,dense_urban,39.817528,39.819828,116.142796,116.14579
118,33.434382,-112.244396,dense_urban,33.433232,33.435532,-112.245774,-112.243018
119,14.534774,121.13327,dense_urban,14.533624,14.535923,121.132082,121.134458
120,29.364071,106.705018,dense_urban,29.362921,29.36522,106.703699,106.706338
121,14.579102,121.284777,dense_urban,14.577952,14.580252,121.283588,121.285965
122,-4.337694,15.471475,dense_urban,-4.338844,-4.336545,15.470321,15.472628
123,25.171157,55.303037,dense_urban,25.170007,25.172306,55.301766,55.304307
124,52.160579,21.317925,dense_urban,52.159429,52.161729,21.316051,21.319799
125,28.978738,77.183335,dense_urban,28.977588,28.979888,77.182021,77.18465
126,10.676269,106.862696,dense_urban,10.675119,10.677419,106.861526,106.863867
127,13.001843,80.172484,dense_urban,13.000693,13.002992,80.171304,80.173664
128,-4.486126,15.530885,dense_urban,-4.487276,-4.484976,15.529732,15.532039
129,39.991719,-74.900288,dense_urban,39.990569,39.992869,-74.901788,-74.898787
130,35.172457,129.28539,dense_urban,35.171307,35.173607,129.283983,129.286797
131,4.586001,-74.263364,dense_urban,4.584851,4.58715,-74.264518,-74.262211
132,-27.624787,153.273041,dense_urban,-27.625937,-27.623637,153.271743,153.274339
133,-23.064254,-43.48877,dense_urban,-23.065404,-23.063105,-43.49002,-43.48752
134,28.756314,77.458926,dense_urban,28.755164,28.757464,77.457614,77.460237
135,48.038822,11.676072,dense_urban,48.037673,48.039972,11.674352,11.677791
136,29.94989,31.411744,dense_urban,29.94874,29.951039,31.410417,31.413072
137,13.030912,80.322502,dense_urban,13.029762,13.032062,80.321322,80.323682
138,40.353891,-3.835895,dense_urban,40.352741,40.355041,-3.837403,-3.834386
139,12.946254,80.388322,dense_urban,12.945104,12.947404,80.387143,80.389502
140,29.327142,106.446482,dense_urban,29.325992,29.328292,106.445163,106.447801
141,47.418994,18.831276,dense_urban,47.417844,47.420143,18.829576,18.832975
142,35.120004,129.201319,dense_urban,35.118855,35.121154,129.199913,129.202725
143,51.375829,0.216864,dense_urban,51.374679,51.376979,0.215022,0.218706
144,-33.350128,-70.72827,dense_urban,-33.351277,-33.348978,-70.729647,-70.726894
145,35.773639,51.569072,dense_urban,35.772489,35.774789,51.567654,51.570489
146,14.402384,121.023156,dense_urban,14.401234,14.403534,121.021969,121.024344
147,23.81392,90.561098,dense_urban,23.812771,23.81507,90.559841,90.562355
148,23.11941,113.273828,dense_urban,23.11826,23.12056,113.272577,113.275078
149,25.277583,121.357253,dense_urban,25.276433,25.278733,121.355981,121.358524
150,33.563996,-7.686227,dense_urban,33.562846,33.565146,-7.687607,-7.684847
151,52.655121,13.385827,dense_urban,52.653971,52.656271,13.383931,13.387722
152,33.967944,-117.972592,dense_urban,33.966794,33.969094,-117.973979,-117.971206
153,37.664494,126.805678,dense_urban,37.663344,37.665644,126.804226,126.807131
154,44.314685,26.268272,dense_urban,44.313535,44.315835,26.266665,26.269879
155,6.461207,3.119097,dense_urban,6.460057,6.462357,3.11794,3.120254
156,53.599632,9.901797,dense_urban,53.598482,53.600782,9.899859,9.903734
157,50.163437,8.526741,dense_urban,50.162287,50.164587,8.524946,8.528536
158,49.974848,14.337403,dense_urban,49.973698,49.975998,14.335615,14.33919
159,42.043938,12.589112,dense_urban,42.042788,42.045088,12.587563,12.59066
160,49.984282,19.828038,dense_urban,49.983132,49.985431,19.82625,19.829826
161,28.476105,77.466632,dense_urban,28.474955,28.477254,77.465323,77.46794
162,45.659062,-73.614271,dense_urban,45.657912,45.660212,-73.615917,-73.612626
163,17.442931,78.623995,dense_urban,17.441782,17.444081,78.622789,78.6252
164,23.874073,90.357442,dense_urban,23.872923,23.875223,90.356184,90.358699
165,53.516961,9.703502,dense_urban,53.515811,53.518111,9.701568,9.705436
166,52.444735,13.556122,dense_urban,52.443585,52.445885,13.554235,13.558008
167,-23.580252,-46.846711,dense_urban,-23.581402,-23.579102,-46.847966,-46.845457
168,10.677453,106.759634,dense_urban,10.676303,10.678603,106.758464,106.760804
169,33.704015,-84.59777,dense_urban,33.702865,33.705165,-84.599152,-84.596388
